This table is produced by alphabetarandomizer.pro
This table was produced with 50000 iterations of alpha and beta combinations

Pulsar #       Jname             Period (s)     rhonaught       % W<rho      % W>rho      % W=rho      % W=NaN
     110       J1820-0427      0.59807600      0.15379699      2.00000      6.62600      0.00000      91.3740
     111       J1822-2256       1.8742690     0.086878047      1.05000      3.86600      0.00000      95.0840
     112       J1822-4209      0.45651200      0.17603536      2.36600      7.46800      0.00000      90.1660
     113       J1823-3106      0.28405400      0.22316473      3.00000      9.14200      0.00000      87.8580
     114       J1825-0935      0.76900600      0.13563168      1.66000      6.08600      0.00000      92.2540
     115       J1829-1751      0.30713300      0.21461633      2.61400      8.94200      0.00000      88.4440
     116       J1845-0434      0.48675100      0.17047967      2.23000      7.51800      0.00000      90.2520
     117       J1848-0123      0.65943200      0.14646741      1.91000      6.29200      0.00000      91.7980
     118       J1852-0635      0.52415100      0.16428496      2.11800      6.96600      0.00000      90.9160
     119       J1900-2600      0.61220900      0.15201140      1.94400      6.43400      0.00000      91.6220
     120       J1913-0440      0.82593600      0.13087383      1.73200      5.95200      0.00000      92.3160
     121       J1941-2602      0.40285800      0.18739155      2.46200      7.81600      0.00000      89.7220
     122       J2048-1616       1.9615720     0.084922718      1.07800      3.69600      0.00000      95.2260
     123       J2330-2005       1.6436220     0.092773734      1.17200      4.27600      0.00000      94.5520
     124       J2346-0609       1.1814630      0.10942485      1.38200      4.85800      0.00000      93.7600
